Tips to and from: *
===================
Start (UTC): 2014.08.20 00:00:00
End (UTC): 2014.08.23 17:07:34

Summary
-------
Incoming: Ɖ27,139,818 (2,088 tips)
Outgoing: Ɖ0 (0 tips)
Net: Ɖ27,139,818

Tippers (incoming): 210
-----------------------
Nick              Amount, Ɖ   Tips   %     
pupshibe_                  5      3    0.00
crxx                       3      2    0.00
eljaimito                  3      1    0.00
crully                     3      1    0.00
qwertie                    1      1    0.00
vikingshibe                1      1    0.00
nefarious___               1      1    0.00
ohyou_                     1      1    0.00
itchy_robot                1      1    0.00
                                           
AVG                  156.670  1.000   50.00
SUM               27,139,818  2,088  100.00


Tippees (outgoing): 0
---------------------
Nick  Amount, Ɖ  Tips   %     
----  ---------  -----  ------
                              
AVG       0.000  0.000   50.00
SUM           0      0  100.00


[tipstatbot by nucular, 2014.08.23 19:07:39]
